,epochs,learning_rate,optimizer,batch_size,f1_score,loss,time_per_epoch,time
0,20,0.0001,Adam,100,0.272757923128793,1.5838782787322998,2.9987974762916565,59.97594952583313
1,20,0.0001,Adam,250,0.2653405259608901,1.876163125038147,1.993842089176178,39.87684178352356
2,20,0.0001,Adam,500,0.25826028320971006,2.072254180908203,1.5975935459136963,31.951870918273926
3,20,0.0001,SGD,100,0.16453135536075522,2.4665822982788086,2.7059192061424255,54.11838412284851
4,20,0.0001,SGD,250,0.15913688469318948,2.5540881156921387,1.583949911594391,31.678998231887817
5,20,0.0001,SGD,500,0.14430209035738367,2.6158204078674316,1.5783114433288574,31.56622886657715
6,20,0.001,Adam,100,0.23937963587322994,1.5596469640731812,2.996411347389221,59.928226947784424
7,20,0.001,Adam,250,0.24814565070802427,1.8226426839828491,1.751355803012848,35.02711606025696
8,20,0.001,Adam,500,0.22521915037086987,2.1278669834136963,1.679904043674469,33.59808087348938
9,20,0.001,SGD,100,0.21139581928523263,2.221395254135132,2.727734649181366,54.55469298362732
10,20,0.001,SGD,250,0.1925151719487525,2.4071295261383057,1.6182257413864136,32.36451482772827
11,20,0.001,SGD,500,0.17262306136210384,2.5012757778167725,1.4894926309585572,29.789852619171143
12,20,0.01,Adam,100,0.1095751854349292,14.276028633117676,2.725359869003296,54.50719738006592
13,20,0.01,Adam,250,0.16790289952798382,12.894478797912598,1.5953624963760376,31.907249927520752
14,20,0.01,Adam,500,0.1095751854349292,14.244915008544922,1.5029746770858765,30.05949354171753
15,20,0.01,SGD,100,0.25556304787592715,1.8791362047195435,2.5413064122200013,50.826128244400024
16,20,0.01,SGD,250,0.23533378287255563,2.1555697917938232,1.5266867637634278,30.533735275268555
17,20,0.01,SGD,500,0.22623061362103844,2.2878310680389404,1.4715088605880737,29.430177211761475
18,30,0.0001,Adam,100,0.2683749157113958,1.499656081199646,2.9627289454142254,88.88186836242676
19,30,0.0001,Adam,250,0.28118678354686444,1.7289129495620728,1.6841353972752888,50.52406191825867
20,30,0.0001,Adam,500,0.27039784221173296,1.947344183921814,1.5475088040033975,46.42526412010193
21,30,0.0001,SGD,100,0.1655428186109238,2.559107542037964,2.78386017481486,83.5158052444458
22,30,0.0001,SGD,250,0.16183412002697237,2.5997660160064697,1.5382293621699015,46.146880865097046
23,30,0.0001,SGD,500,0.15205664194200944,2.6338186264038086,1.4661514043807984,43.98454213142395
24,30,0.001,Adam,100,0.2356709372892785,1.7398771047592163,2.9352826197942097,88.0584785938263
25,30,0.001,Adam,250,0.2437626432906271,1.4581451416015625,1.6273941119511923,48.82182335853577
26,30,0.001,Adam,500,0.24848280512474713,1.8706656694412231,1.5122934818267821,45.36880445480347
27,30,0.001,SGD,100,0.22387053270397841,2.365466833114624,2.6732723474502564,80.19817042350769
28,30,0.001,SGD,250,0.20465273095077546,2.4671337604522705,1.5389185984929403,46.16755795478821
29,30,0.001,SGD,500,0.1827376938637896,2.535691499710083,1.468054191271464,44.04162573814392
30,30,0.01,Adam,100,0.1095751854349292,14.506287574768066,3.0127730210622152,90.38319063186646
31,30,0.01,Adam,250,0.16790289952798382,13.566064834594727,1.622005581855774,48.66016745567322
32,30,0.01,Adam,500,0.1095751854349292,14.680540084838867,1.511685355504354,45.350560665130615
33,30,0.01,SGD,100,0.25758597437626435,1.9979760646820068,2.6788336118062337,80.36500835418701
34,30,0.01,SGD,250,0.2289278489548213,2.239035129547119,1.5423357486724854,46.27007246017456
35,30,0.01,SGD,500,0.22589345920431558,2.330073595046997,1.4407223463058472,43.221670389175415
