,max_length,h_size,embedding_output,epochs,model,f1_score,accuracy,loss,time_per_epoch,time
0,64,10,250,5,RNNModel,0.1309148476224604,0.45846477392218715,1.3822886943817139,7.286460018157959,36.432300090789795
1,64,10,250,5,LSTMModel,0.2089215103369079,0.6051524710830705,1.0091047286987305,18.08693399429321,90.43466997146606
2,64,10,250,10,RNNModel,0.15294501061052007,0.48738170347003157,1.3275713920593262,7.252348494529724,72.52348494529724
3,64,10,250,10,LSTMModel,0.3146405405752695,0.6876971608832808,0.8157404065132141,18.001405239105225,180.01405239105225
4,64,10,250,20,RNNModel,0.16047733810667691,0.517875920084122,1.227459192276001,7.300419056415558,146.00838112831116
5,64,10,250,20,LSTMModel,0.4648052264509527,0.7344900105152471,0.47859492897987366,18.238958716392517,364.77917432785034
6,64,10,500,5,RNNModel,0.1325969475765559,0.4794952681388013,1.3771756887435913,8.124193096160889,40.62096548080444
7,64,10,500,5,LSTMModel,0.3293251353710212,0.6971608832807571,0.8759083151817322,19.293134880065917,96.46567440032959
8,64,10,500,10,RNNModel,0.14761128556712622,0.42323869610935855,1.3486264944076538,8.31334171295166,83.1334171295166
9,64,10,500,10,LSTMModel,0.46171017392046954,0.7281808622502629,0.5326464176177979,19.027054238319398,190.27054238319397
10,64,10,500,20,RNNModel,0.16502760561349192,0.519453207150368,1.239790916442871,7.938113141059875,158.7622628211975
11,64,10,500,20,LSTMModel,0.5391207422041873,0.7407991587802313,0.26887136697769165,18.17747564315796,363.5495128631592
12,64,30,250,5,RNNModel,0.1311722541607601,0.47213459516298634,1.4960618019104004,7.2792637825012205,36.3963189125061
13,64,30,250,5,LSTMModel,0.21622451102399812,0.6703470031545742,0.9929148554801941,17.753283262252808,88.76641631126404
14,64,30,250,10,RNNModel,0.15433891079737808,0.49369085173501576,1.231632113456726,7.001638770103455,70.01638770103455
15,64,30,250,10,LSTMModel,0.25429765634902457,0.6603575184016824,0.8626472353935242,17.654931092262267,176.54931092262268
16,64,30,250,20,RNNModel,0.15495449881694076,0.491062039957939,1.185258388519287,7.168310523033142,143.36621046066284
17,64,30,250,20,LSTMModel,0.43969169207631414,0.7092534174553102,0.4909534752368927,17.339691829681396,346.79383659362793
18,64,30,500,5,RNNModel,0.19986070669651396,0.5199789695057834,1.2869032621383667,7.983589696884155,39.917948484420776
19,64,30,500,5,LSTMModel,0.25005264371711067,0.6724500525762356,0.9402557015419006,18.257301235198973,91.28650617599487
20,64,30,500,10,RNNModel,0.20248484857925,0.517875920084122,1.141355276107788,7.89066162109375,78.9066162109375
21,64,30,500,10,LSTMModel,0.37222660018671794,0.711882229232387,0.6366739273071289,18.935329246520997,189.35329246520996
22,64,30,500,20,RNNModel,0.19735858827266256,0.4931650893796004,0.9504005908966064,8.20767788887024,164.15355777740479
23,64,30,500,20,LSTMModel,0.5328020220774321,0.7334384858044164,0.21999433636665344,19.055158460140227,381.10316920280457
24,128,10,250,5,RNNModel,0.10873683296294664,0.4421661409043113,1.5484811067581177,12.52512001991272,62.6256000995636
25,128,10,250,5,LSTMModel,0.16242500412580432,0.49053627760252366,1.4813441038131714,33.19390940666199,165.96954703330994
26,128,10,250,10,RNNModel,0.14813107092149996,0.4526813880126183,1.4521914720535278,12.399290251731873,123.99290251731873
27,128,10,250,10,LSTMModel,0.16713198030324306,0.3301787592008412,1.1391386985778809,33.75188934803009,337.5188934803009
28,128,10,250,20,RNNModel,0.12208100191108859,0.4411146161934805,1.5171018838882446,12.525986981391906,250.51973962783813
29,128,10,250,20,LSTMModel,0.2933803446928222,0.6624605678233438,0.916912317276001,33.83926128149032,676.7852256298065
30,128,10,500,5,RNNModel,0.10927728436419329,0.4411146161934805,1.5534906387329102,13.731288480758668,68.65644240379333
31,128,10,500,5,LSTMModel,0.24972073736790312,0.6409043112513144,1.3003827333450317,35.0581401348114,175.290700674057
32,128,10,500,10,RNNModel,0.14145665360176643,0.4479495268138801,1.5063420534133911,13.65945897102356,136.5945897102356
33,128,10,500,10,LSTMModel,0.333526294985215,0.6971608832807571,0.8144274353981018,34.56462678909302,345.6462678909302
34,128,10,500,20,RNNModel,0.14562205941740877,0.4516298633017876,1.4751349687576294,13.513550901412964,270.2710180282593
35,128,10,500,20,LSTMModel,0.4492092354120337,0.7371188222923238,0.5200020670890808,34.64239766597748,692.8479533195496
36,128,30,250,5,RNNModel,0.09961611997052007,0.4216614090431125,1.8590607643127441,12.408183383941651,62.04091691970825
37,128,30,250,5,LSTMModel,0.16581169323768213,0.47634069400630913,1.4058175086975098,32.925959491729735,164.62979745864868
38,128,30,250,10,RNNModel,0.10885926361951066,0.44532071503680337,1.504668116569519,11.797844529151917,117.97844529151917
39,128,30,250,10,LSTMModel,0.20616187097739708,0.5084121976866456,1.2683876752853394,31.70230338573456,317.0230338573456
40,128,30,250,20,RNNModel,0.12635607536751764,0.4400630914826498,1.5083776712417603,11.792197406291962,235.84394812583923
41,128,30,250,20,LSTMModel,0.32516273374547466,0.6645636172450052,0.8242530822753906,31.652991509437562,633.0598301887512
42,128,30,500,5,RNNModel,0.17420543569259606,0.482124079915878,1.513854742050171,13.573987436294555,67.86993718147278
43,128,30,500,5,LSTMModel,0.14322444713517823,0.42481598317560465,1.394146203994751,34.48691306114197,172.43456530570984
44,128,30,500,10,RNNModel,0.17000263118714382,0.4931650893796004,1.447849154472351,13.462473583221435,134.62473583221436
45,128,30,500,10,LSTMModel,0.2781128959033803,0.6572029442691903,1.0610551834106445,34.32057204246521,343.2057204246521
